song_name,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var,label
Aai Aai Re Pagol.mp3,117.4538352,143490,1258.684211,0.2652873,0.307550399,0.094587248,0.476079086,0.268147429,0.071903044,0.256190268,0.133040896,0.01769988,19.44876336,132.0053717,17425.41817,3.232830133,32.17220277,1035.050631,0.005313357,2.248680545,5.056564193,0.278877139,0.09811537,0.009626626,1816.69074,443.0951968,196333.3535,2170.73958,273.765858,74947.74502,22.41147403,6.577048074,43.25756137,3694.565159,1136.062437,1290637.86,3.002472292,3.315040956,10.98949654,-0.002155809,0.076394608,0.005836136,0.071313817,0.024713222,0.000610743,6.00E-05,0.246668085,0.060845144,0.000306043,0.094003625,0.008836682,1.765877551,1.092411264,1.193362369,3
Aaj Taaray Taaray Dipto Shikhar.mp3,129.1992188,164643,1276.302326,0.240891685,0.301678013,0.091009623,0.366112048,0.285707071,0.08162853,0.226792382,0.178601648,0.031898549,5.013714623,36.1315613,1305.489722,-7.652302403,58.10620875,3376.331495,0.009265475,1.959212002,3.838511669,0.132474706,0.064599514,0.004173098,1473.438015,705.6635623,497961.0631,1655.685724,498.8346144,248835.9725,25.01691591,6.683737856,44.67235173,2945.661355,1442.399044,2080515.003,1.276906872,1.537727535,2.364605972,-0.013782688,0.104215486,0.010860867,0.069443647,0.046260505,0.002140034,-4.48E-06,0.137462482,0.018895935,-2.73E-05,0.027201258,0.000739908,8.467156463,4.649219877,21.61524547,3
Aamake Je Baadhbe Dhore.mp3,151.9990809,199193,1293.461039,0.275191651,0.300285574,0.090171426,0.414687727,0.282244635,0.079662034,0.237777199,0.163692812,0.026795337,4.97348374,35.08550942,1230.992971,-7.458312376,45.65472716,2084.354112,0.007591449,2.39564944,5.73913624,0.136273608,0.06493973,0.004217168,1852.490285,407.5235152,166075.4154,1895.885455,312.7044877,97784.09662,24.16757557,7.026548875,49.37238909,3805.789487,919.7148511,845875.4074,1.492162211,1.765966474,3.118637586,-0.006023248,0.092214969,0.008503601,0.088848102,0.038952585,0.001517304,3.66E-07,0.135930315,0.018477051,-3.93E-06,0.037525315,0.001408149,2.594829932,1.129928778,1.276739044,3
Aamar Jaabar Samay Holo.mp3,151.9990809,161883,1217.165414,0.248626255,0.297679004,0.088612789,0.371241195,0.289661058,0.083903528,0.216808566,0.190597427,0.036327379,0.437057991,4.863900447,23.65752756,-13.04270277,79.18589818,6270.406471,0.006632178,1.680400266,2.823745053,0.041847691,0.026085012,0.000680428,1144.678307,427.1712898,182475.3108,1523.492834,273.2186636,74648.43815,26.0734696,5.826026804,33.94258832,2333.598389,851.3382188,724776.7628,0.395086033,0.583673777,0.340675078,0.022566021,0.103550714,0.01072275,0.03931042,0.033670885,0.001133728,-0.021773258,0.039642256,0.001571508,-3.15E-06,0.012040198,0.000144966,8.168780045,3.537997295,12.51742486,3
Aamar Nai Ba Holo Paare Jawoa.mp3,161.4990234,210099,1296.907407,0.281116713,0.306030151,0.093654453,0.399009808,0.281916278,0.079476788,0.241224469,0.158568878,0.025144089,3.054193712,16.76328284,281.0076514,-8.703199841,54.1256742,2929.588607,0.006665688,2.62360801,6.88331899,0.108530134,0.040448532,0.001636084,1549.812453,371.0137237,137651.1831,1862.057693,344.8538662,118924.189,25.64413168,9.58278572,91.82978215,3055.902355,913.8094509,835047.7125,1.198202866,1.431780029,2.04999405,0.003347561,0.094996328,0.009024302,0.065280218,0.02357665,0.000555858,-9.46E-07,0.096811563,0.009372478,-2.78E-05,0.039395835,0.001552032,2.987247166,1.572751739,2.473548034,3
Aamare Badhbi Tora.mp3,143.5546875,183554,1274.680556,0.262019137,0.316322349,0.100059829,0.383034592,0.28921272,0.083643997,0.226645073,0.178788546,0.031965344,0.878721758,6.509083112,42.36816296,-7.695001072,60.27355383,3632.901291,0.007845745,2.389611296,5.710242148,0.061965365,0.022246521,0.000494908,1557.534661,391.0239801,152899.753,1890.830789,344.9517367,118991.7006,23.62410684,6.285627871,39.50911773,3223.113844,860.9668262,741263.8759,0.642782114,0.739265502,0.546513483,0.007230814,0.091870517,0.008440192,0.059198622,0.024879995,0.000619014,-0.022197042,0.054460194,0.002965913,-9.48E-05,0.018282861,0.000334263,2.121142857,1.372577754,1.883969691,3
Aami Chanchalo Hey.mp3,107.6660156,138107,1290.719626,0.246076566,0.299126092,0.089476419,0.38665881,0.275599091,0.075954859,0.235532327,0.16690673,0.027857856,2.354619002,14.83835995,220.1769259,-12.72786002,66.52363961,4425.394627,0.008220659,2.595446818,6.736344185,0.094528124,0.037589148,0.001412944,1172.522254,319.6360644,102167.2137,1221.171183,272.7128598,74372.3039,26.30374694,8.301982915,68.92292032,2140.870388,763.7479787,583310.975,0.985097018,1.185226181,1.4047611,-0.006452444,0.096230906,0.009260387,0.061657979,0.017812312,0.000317278,-5.79E-06,0.088171527,0.007774218,-5.27E-05,0.03124658,0.000976349,2.6621678,1.282054318,1.643663274,3
Aami Ekla Cholechhi E Bhobe.mp3,129.1992188,157403,1345.324786,0.220004133,0.312482901,0.097645564,0.343893502,0.296317223,0.087803897,0.210404649,0.197644167,0.039063217,1.714428684,16.18558789,261.9732555,-17.8275948,71.29047119,5082.331282,0.006570754,1.565607376,2.451126455,0.068921193,0.052952867,0.002804006,1707.264703,530.9583497,281916.7691,1981.435073,383.649683,147187.0793,25.43961482,6.431458375,41.36365683,3530.903649,1325.361802,1756583.906,0.54894565,0.808371324,0.653464197,-0.004916972,0.118586486,0.014062755,0.061571056,0.029534995,0.000872316,-0.00032564,0.084660657,0.007167427,-5.36E-05,0.011097271,0.000123149,8.817777778,3.403310937,11.58252534,3
Aami Keboli Swapon Koraychhi Bapon.mp3,135.9991776,169544,1274.766917,0.263221357,0.316126473,0.099935947,0.416477546,0.281813928,0.07941909,0.238190214,0.163091248,0.026598755,2.706348646,19.56073187,382.6222311,-7.890021205,51.76792906,2679.918479,0.009713598,2.458308789,6.043282104,0.10096918,0.044867828,0.002013122,1788.963079,467.7880294,218825.6405,1963.992273,383.5107071,147080.4624,23.77725684,6.90502224,47.67933214,3777.706323,993.720572,987480.5753,1.040880872,1.20075436,1.441811032,0.016288664,0.091219824,0.008321056,0.077182829,0.028301617,0.000800982,-3.04E-06,0.101563133,0.01031507,-4.24E-05,0.024722205,0.000611187,2.982603175,1.354491328,1.834646759,3
Aami Phirbo Na Re.mp3,99.38401442,126673,1292.581633,0.292204011,0.307050456,0.094279982,0.422307971,0.279663046,0.07821142,0.244156931,0.154015345,0.023720726,1.890505969,13.65272075,186.3967837,-8.263692578,50.7642762,2577.011738,0.007445928,2.431484951,5.912119069,0.083429344,0.043876354,0.001925134,1956.887043,482.497717,232804.0469,1942.895276,336.067864,112941.6092,23.57099889,7.299526212,53.28308292,3915.909654,1027.985102,1056753.37,0.978897467,1.206855254,1.456499605,-0.014677797,0.086491869,0.007480843,0.097520196,0.036180476,0.001309027,8.60E-07,0.081178717,0.006589985,-1.09E-05,0.0289221,0.000836488,2.104888889,1.002803012,1.005613882,3
